a,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52184517,Phaedrus Living: Modern Kriel Suites 304,93691539,Phaedrus Living,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99006,23.76553,Entire home/apt,37,1,2,09-11-2021,0.68,16,364,2,1349081
52184940,Hip studio in Hip Pagrati,113353393,Harry,,ΠΑΓΚΡΑΤΙ,37.970963,23.745935,Entire home/apt,62,2,4,14-11-2021,1.74,25,363,4,1341380
52190317,Museum backyard apartment,32948108,Michalis,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98923,23.72932,Entire home/apt,38,1,1,03-10-2021,0.37,9,365,1,876076
52211216,Cozy apartement with a stunning view of Lycabettus,343069015,Anastasia,,ΠΑΓΚΡΑΤΙ,37.96955,23.74904,Entire home/apt,32,2,6,22-12-2021,2.31,1,251,6,1346130
52216561,B2 Blue House Apartment,294222259,Melina,,ΠΕΤΡΑΛΩΝΑ,37.9666,23.70604,Entire home/apt,45,1,9,21-12-2021,2.93,14,342,9,1194575
52218112,NEW! Classy 2bd+patio in the posh area of Athens!,824759,Dasha,,ΚΟΛΩΝΑΚΙ,37.9784,23.74955,Entire home/apt,59,3,2,10-11-2021,0.76,2,80,2,1344216
52219520,"STUNNING Penthouse with Acropolis View, ACROPOLIS",98187163,Eleni,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96624,23.72643,Entire home/apt,61,2,5,12-12-2021,3.66,1,352,5,1119531305
52220236,Renovated 1 bedroom studio in Monastiraki,34203916,Athanasios,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97858,23.72745,Entire home/apt,38,1,8,19-12-2021,2.5,1,76,8,1348739
52233256,FOS DownTown SUITES - Deluxe Room,422824931,Fos DownTown,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97683,23.731836,Private room,86,1,0,,,7,361,0,14188300100
52233501,Gemelli I homm Apartment Skoufa str Kolonaki,29927830,Homm ®,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.981579,23.737274,Entire home/apt,41,2,3,16-11-2021,1.18,153,333,3,1342621
52233971,Gemelli II homm Apartment Skoufa str Kolonaki,29927830,Homm ®,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.981579,23.737274,Entire home/apt,44,2,1,18-12-2021,1,153,337,1,1342722
52239653,A lovely apartment in Athens,422871569,Shkelqim,,ΑΝΩ ΠΑΤΗΣΙΑ,38.0163,23.73444,Entire home/apt,45,1,1,17-10-2021,0.44,1,365,1,1346937
52249689,NLH Kerameikos | Standard Double Room,160981038,Nlh,,ΠΕΤΡΑΛΩΝΑ,37.97883,23.7202,Private room,53,1,0,,,20,357,0,0206K134K0340101
52249966,NLH Kerameikos | Family Room,160981038,Nlh,,ΚΕΡΑΜΕΙΚΟΣ,37.97967,23.71949,Private room,69,1,0,,,20,356,0,0206K134K0340101
52250104,NLH Kerameikos | Comfort Room,160981038,Nlh,,ΚΕΡΑΜΕΙΚΟΣ,37.97955,23.72162,Private room,61,1,0,,,20,346,0,0206K134K0340101
52250826,NLH Kerameikos | Superior Suite Veranda,160981038,Nlh,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98095,23.72103,Private room,77,1,0,,,20,348,0,0206K134K0340101
52250930,Standard Double Room,422952414,Enattica,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97651,23.72987,Entire home/apt,91,1,2,03-10-2021,0.72,2,364,2,1152259
52251417,Standard Triple Room,422952414,Enattica,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97574,23.72994,Entire home/apt,124,1,0,,,2,364,0,1152259
52251620,Plaka Filotheis Boutique apt B,31290848,Nasos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.974369,23.730022,Entire home/apt,60,2,3,31-10-2021,1.01,16,365,3,1355046
52252946,Modern Hospitality- apt near Children's Hospital,260748138,Maria,,ΓΟΥΔΙ,37.986717,23.766802,Entire home/apt,55,2,0,,,2,339,0,1345749
