a,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19685619,Lilly's Appartments,138655765,Angeliki,,ΓΟΥΔΙ,37.98107,23.75552,Entire home/apt,78,2,1,02-11-2018,0.03,1,88,0,
19686121,3 BDR Apt in the Heart Of Athens,138666196,Markella,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.00194,23.72847,Entire home/apt,43,1,65,11-07-2020,1.21,1,236,0,98686
19690824,YestayHomes ★ Thisio ★ Ideally located flat,138276945,Anna Representing Yestay Homes,,ΘΗΣΕΙΟ,37.97581,23.71838,Entire home/apt,106,2,160,28-11-2021,2.96,1,281,15,448776
19695688,Central and comfortable,138744427,Elli,,ΑΝΩ ΚΥΨΕΛΗ,38.00472,23.737,Entire home/apt,20,10,87,02-09-2021,1.61,1,0,3,
19697811,Next to Acropolis view unique apartment,60643587,Eva,,ΘΗΣΕΙΟ,37.9756,23.71984,Entire home/apt,53,2,140,20-12-2021,2.97,2,168,32,144891
19723461,cosy house with yard near city center,55225416,Irini,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95698,23.73004,Entire home/apt,29,2,15,07-03-2019,0.28,1,261,0,94405
19728173,Acropolis Museum Art Nouveau apartment,139075212,Katerina,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96673,23.72849,Entire home/apt,35,2,156,30-10-2021,2.96,1,284,18,972961
19732609,"Athens city center flat, wifi, 10' from metro",89691854,Δημήτρης,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98432,23.73747,Entire home/apt,22,1,69,24-11-2021,1.3,2,336,16,276320
19732711,Urban Studio,139120465,Giannis,,ΠΕΤΡΑΛΩΝΑ,37.97248,23.71334,Entire home/apt,30,2,82,23-10-2021,1.51,1,142,9,482037
19742507,Small home in Athens,139234288,Alexandra,,ΠΑΓΚΡΑΤΙ,37.97213,23.74653,Entire home/apt,45,2,70,27-10-2019,1.35,1,325,0,361056
19755142,Superb Athenian Nest,138504723,Panagiotis,,ΑΜΠΕΛΟΚΗΠΟΙ,37.9937,23.76042,Entire home/apt,32,1,2,16-07-2018,0.04,1,365,0,514560
19756622,A BRAND NEW APARTMENT WITH PARKING NEAR ACROPOLIS,139394388,Demos,,ΑΚΡΟΠΟΛΗ,37.96238,23.7181,Entire home/apt,45,2,175,28-11-2021,3.23,1,320,31,1033936
19760391,"Filoxenia, central Athens, two rooms apartment",139436839,Kleo,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99144,23.72916,Entire home/apt,39,3,55,03-10-2021,1.03,1,90,5,327365
19761460,Sweet Katerina's Apartment,139450088,Πέτρος,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95658,23.72761,Entire home/apt,50,1,0,,,1,364,0,
19763970,"Central metro station, Value for money apartment",18962051,Linda,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99359,23.72822,Entire home/apt,25,2,45,19-11-2019,0.84,1,81,0,117813
19764150,Athens-city! Cheap and handy!,51062985,Věra,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.00756,23.7308,Entire home/apt,19,2,101,10-08-2020,1.88,2,267,0,
19771515,Cozy and smart apartment with courtyard in Koukaki,9640455,Maria,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96588,23.72773,Entire home/apt,30,1,124,29-11-2021,2.3,2,356,30,871704
19771771,Sweet Dreams Apartment in Athens,129844047,Spiros,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99234,23.72252,Entire home/apt,30,2,45,02-02-2020,1.02,1,51,0,0
19778085,Syntagma Square Luxury Apartment by Livin Urbban,139074306,Livin Urbban,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97439,23.7341,Entire home/apt,120,1,1,11-06-2019,0.03,1,0,0,
19779890,"""The Prestige"" luxury studio in Kolonaki square",139634995,Dennis,,ΚΟΛΩΝΑΚΙ,37.97814,23.73931,Entire home/apt,48,2,209,18-12-2021,3.88,2,250,38,417431
19779968,KYMA Apartments - Athens Acropolis 13,75330319,Kyriakos,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96166,23.725,Entire home/apt,82,1,11,11-09-2021,0.21,8,350,5,104270
19781478,"Cozy house, recently renovated",113700343,Konstantinos,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95437,23.71643,Entire home/apt,36,5,20,01-10-2021,0.37,3,0,5,26550
19784053,Central apartment in the center of Athens,1232155,Alex,,ΑΝΩ ΚΥΨΕΛΗ,38.00513,23.747,Entire home/apt,63,4,0,,,1,87,0,
19792787,Top Ground Floor in Cozy Mets,119651226,Theofilos,,ΣΤΑΔΙΟ,37.96708,23.73632,Entire home/apt,45,1,163,27-10-2021,3.01,2,223,11,843970
19796279,Cozy studio in the heart of Athens,69951679,Giannis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97633,23.73216,Entire home/apt,35,5,90,02-11-2021,1.67,1,191,7,462316
19804827,"Modern -sunny studio, 150m from Monastiraki square",139885269,Nikos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97845,23.725,Entire home/apt,82,2,93,26-10-2021,1.77,1,321,2,1268750
19807219,cozy flat near city center and metro station,139911125,Αλεξία,,ΚΟΛΩΝΟΣ,37.99328,23.71674,Entire home/apt,40,1,67,12-08-2020,1.25,1,35,0,356250
19823421,Modern familiar house under Acropolis,140067581,George And Anna,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96451,23.72148,Entire home/apt,34,2,155,07-12-2021,2.9,1,361,13,49667
19829095,Cozy apartment with direct access from the airport,140124048,Serafeim,,ΝΙΡΒΑΝΑ,38.00956,23.72263,Entire home/apt,26,1,93,22-10-2021,1.73,1,180,10,464936
19832638,Beautiful apartment in the center of Athens,105475549,Anastasia,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98894,23.72794,Entire home/apt,22,2,119,03-07-2020,2.24,2,173,0,169555
19836954,Modernized Apartment with Private Balcony,8666138,Greg,,ΙΛΙΣΙΑ,37.9743,23.74885,Entire home/apt,101,2,93,06-12-2021,1.76,5,304,30,1024280
19841388,Family House next to Acropolis 3BR,31290848,Nasos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.965992,23.72448,Entire home/apt,65,2,211,19-12-2021,3.95,16,245,44,228116
19841963,"Cosy  Apartment  51 , Pagrati",82766881,Athens Find Learn Fun,,ΣΤΑΔΙΟ,37.96623,23.74313,Entire home/apt,32,1,153,05-12-2021,2.85,3,299,17,1136025
19848715,ΟΡΦΕΑΣ/ORFEUS,137584933,Orfeus,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98693,23.72731,Private room,60,1,0,,,4,0,0,
19855179,Best Location Best View Top fl Apt in Athens,140402011,Lampros,,ΠΑΓΚΡΑΤΙ,37.97246,23.74398,Entire home/apt,70,6,14,11-09-2021,0.27,1,310,1,494836
19881229,Under the shade of Acropolis,53824000,Leonidas,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96837,23.725,Entire home/apt,67,1,12,06-01-2020,0.23,21,356,0,445550
19898791,Cozy studio in the center of Athens renovated,140875245,Kitty,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98921,23.74014,Entire home/apt,40,2,0,,,4,310,0,196080
19901354,Acropolis Suite-Historic Center •500m to Acropolis,42585120,Annie & Vasiliki,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97561,23.73103,Entire home/apt,85,1,336,07-12-2021,6.38,1,143,123,Exempt
19924828,Design Apartment in Gazi-Votanikos with Unique Interiors,141150810,Panos,,ΒΟΤΑΝΙΚΟΣ,37.98012,23.71002,Entire home/apt,75,4,57,20-11-2021,1.06,1,29,4,17946
19935418,Feel good flat for 2 in Exarcheia,39509220,Elina,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98498,23.74085,Entire home/apt,55,3,17,01-09-2019,0.32,2,0,0,26181
19945077,Athens Penthouse Studio (4 Guests),131959217,Nicholas,,ΓΟΥΔΙ,37.98372,23.75879,Entire home/apt,39,5,49,23-03-2020,0.94,3,0,0,958379
19948960,Amazing 3 bedrooms apt located in the city center,141388151,Sarah,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98325,23.72574,Entire home/apt,350,6,0,,,1,365,0,
19949680,Heart of Athens. Huge terrace with Acropolis view!,297078,Alexander,,ΖΑΠΠΕΙΟ,37.97158,23.73257,Entire home/apt,59,2,181,06-12-2021,3.38,3,155,29,
19955273,The CucKoo's Nest in the ❤of Athens!,58059718,George,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98798,23.73531,Entire home/apt,35,1,168,18-10-2021,3.15,1,168,19,1092713
19963597,Monastiraki Studio-SuperDownTown@metro Monastiraki,90390850,Evan&Anetta,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97679,23.72369,Entire home/apt,26,1,443,25-10-2021,8.23,39,0,87,515778
19965807,"Charming Acropolis Metro Station apartment, clean and cozy",2089542,Tia & Mike,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96713,23.72887,Entire home/apt,92,1,60,23-09-2021,1.12,54,361,9,152439
19966438,Cozy rooftop studio close to downtown Athens,925329,Dimitris,,ΓΚΥΖΗ,37.99151,23.75163,Entire home/apt,21,10,74,22-10-2021,1.38,1,173,3,78221
19977002,Lovely Petit Studio in Athens,65714690,Home,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99045,23.75786,Entire home/apt,36,2,11,11-09-2021,0.21,17,365,2,937155
19977392,Sunny 83 m2 Kolonaki Acropolis view Large terrace,122389443,Claus,,ΚΟΛΩΝΑΚΙ,37.97902,23.74332,Entire home/apt,52,2,75,07-12-2021,1.65,2,5,20,
19977877,Charmy Petit 1 Bedroom Flat in Athens,65714690,Home,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99049,23.75747,Entire home/apt,38,2,10,22-11-2021,0.21,17,333,4,937202
19983372,La Partita-Stylish flat in the heart of Athens,67859882,Mirto,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98721,23.72461,Entire home/apt,35,2,100,06-12-2021,1.87,1,263,10,6760
19990607,The ideal house in Athens next to Acropolis,141270032,Eirini,,ΘΗΣΕΙΟ,37.974808,23.718704,Entire home/apt,45,1,54,27-11-2021,1.03,1,292,15,1110213
20010069,"Acropolis Studio, a small apartment in a loft",112363424,Φλώρα,,ΠΕΤΡΑΛΩΝΑ,37.9702,23.71232,Private room,30,1,285,01-12-2021,5.36,1,343,30,351671
20010762,A lovely and spacious apartment near Acropolis,91851682,Apostolos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97148,23.73022,Entire home/apt,53,2,304,18-12-2021,5.7,1,222,59,9573
20010765,ATHINA luxury living 40m2,18339918,George,,ΛΥΚΑΒΗΤΤΟΣ,37.98293,23.75108,Entire home/apt,100,1,1,12-08-2021,0.22,2,325,1,1182583
20010809,The Athenian avant-garde experience!,70297345,Stavros,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98698,23.74146,Entire home/apt,28,1,45,22-12-2020,0.84,8,0,0,355778
20011858,Νεοκλασική άποψη,64016090,Alexandros,,ΛΥΚΑΒΗΤΤΟΣ,37.98302,23.74034,Entire home/apt,50,5,0,,,1,88,0,
20013960,Ddellta Apartment with big balcony Acropolis view,86568866,Milica,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99859,23.72836,Entire home/apt,25,1,147,12-12-2021,2.76,1,152,19,Exempt
20020664,Dinos Apartement,142163603,Abdelssatar,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.9926,23.72908,Private room,40,1,0,,,1,0,0,
20023385,"Center 6, (4-bedr) Metro 30m, in the Heart of Ath.",640163,Nikos,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99357,23.72897,Entire home/apt,87,2,13,27-10-2021,0.25,9,236,5,173302
20025687,A Romantic Privet Room,140056496,Dimitris,,ΠΕΤΡΑΛΩΝΑ,37.96735,23.70729,Private room,20,1,0,,,1,356,0,
20030616,"Acropolis View, Cozy & Central Loft, near Metro!",127947224,Dimitris,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97856,23.72462,Entire home/apt,81,2,113,15-11-2021,2.16,1,331,25,89419
20042220,Quiet Artistic Apartment in the heart of Athens,48726094,Antonia,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99648,23.72735,Entire home/apt,23,2,53,10-11-2021,1,1,164,10,515280
20043601,Family Home at the neighbourhood of Acropolis,487868,Eri,,ΑΚΡΟΠΟΛΗ,37.96753,23.72387,Entire home/apt,150,6,0,,,1,83,0,154447
20051343,"The ""Penthouse"" by SPACEERS",11898939,Panos,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,38.00277,23.72504,Entire home/apt,28,2,112,14-11-2021,2.14,8,149,13,878889
20055174,Cute apartment close to city center,128526293,Christina,,ΠΕΤΡΑΛΩΝΑ,37.96477,23.71007,Entire home/apt,30,1,1,29-08-2021,0.26,1,112,1,1231406
20065196,Olala Kolonaki Suites 3.1 | 11m Syntagma Sq.,129000409,Olala Homes,,ΚΟΛΩΝΑΚΙ,37.97965,23.73808,Entire home/apt,51,1,21,30-05-2021,0.52,30,362,1,525232
20066042,Acropolis Panoramic view loft,142601615,Petros,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96161,23.7379,Entire home/apt,30,2,67,16-02-2020,1.27,1,112,0,135810
20080484,Olala Kolonaki Suites 3.3 | 11m Syntagma Sq.,129000409,Olala Homes,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97909,23.7359,Entire home/apt,54,1,55,01-10-2021,1.06,30,351,4,525221
20080487,Olala Kolonaki Suites 3.2 | 11m Syntagma Sq.,129000409,Olala Homes,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98097,23.73623,Entire home/apt,54,1,24,21-06-2021,0.5,30,358,1,525210
20083273,Studio in Athens heart!,142201131,Angela & Akis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9851,23.73099,Entire home/apt,45,1,364,19-12-2021,6.82,2,228,66,120870
20120064,"Stylish, Quiet & Relaxing, a Hidden Gem near the Acropolis",143016097,Stefanos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96341,23.72149,Entire home/apt,75,2,149,15-11-2021,2.81,2,268,25,283097
20127481,Hidesign Athens Art Loft with Acropolis view,10581143,Pagona,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97847,23.7259,Entire home/apt,172,3,26,02-03-2020,0.55,9,3,0,497994
20135729,Anastasia and Panos,143185676,Anastasia,,ΓΚΑΖΙ,37.9754,23.70849,Entire home/apt,50,2,168,20-12-2021,3.15,1,249,33,64486
20141676,"Φωτεινό ,γωνιακό με θέα",143264186,Παναγιωτης,,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,37.98837,23.71238,Entire home/apt,3020,2,0,,,1,0,0,
20150237,A safe real home in the center of Athens,122454952,Panos,,ΘΗΣΕΙΟ,37.97367,23.71673,Entire home/apt,40,3,84,01-09-2019,1.6,1,0,0,40102
20152674,Modern apartment in Athens center,113604662,Nikos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98498,23.73461,Entire home/apt,68,2,2,27-02-2019,0.04,13,346,0,1237778
20167026,Victorian Neoclassic Apt 110m2 in Centre,102746870,Giorgos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9847,23.73206,Entire home/apt,70,7,13,23-10-2018,0.3,2,263,0,
20187539,The Sailing Captains City rest,73527288,Loucas,,ΠΕΔΙΟ ΑΡΕΩΣ,37.99359,23.74389,Entire home/apt,34,2,1,16-11-2019,0.04,1,51,0,529689
20190235,☆ IKEA LUX 100Mbps Metro Parking Balcony NETFLIX ☆,40621733,Kyriakos,,ΠΑΤΗΣΙΑ,38.00949,23.73443,Entire home/apt,37,2,222,15-11-2021,4.22,1,339,34,92080
20192434,#BeAthenian–Stylish apt with private terrace,17751979,Constantina,,ΘΗΣΕΙΟ,37.97602,23.71609,Entire home/apt,55,1,181,03-12-2021,3.41,1,318,40,378365
20207401,Charming app 10'from historical centre & Acropolis,143926132,Eleni,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96333,23.72273,Entire home/apt,59,1,114,01-11-2021,2.15,1,106,11,468861
20221243,"Zephyr Apartment- Athens Center, 3 BD, 1 BATH",77457889,Παναγιώτης,,ΚΥΨΕΛΗ,38.00031,23.73801,Entire home/apt,80,2,0,,,36,30,0,226378
20233549,"ELI'S bright,spacious home w. view under Acropolis",84127532,Εlissavet,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96538,23.72472,Entire home/apt,50,2,135,12-11-2021,2.7,1,252,14,9063
20239424,Homeisathens - Pure Bliss - Charitos 35,98162465,Tonia,,ΛΥΚΑΒΗΤΤΟΣ,37.97948,23.74412,Entire home/apt,140,4,11,08-12-2021,0.21,6,39,5,536244
20264807,Toni's - Bright apartment near Plaka,112527018,Toni,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97189,23.73055,Entire home/apt,48,1,362,25-11-2021,6.86,28,300,87,23406
20265429,Plane tree house,144461330,Nefeli,,ΓΟΥΔΙ,37.98068,23.75606,Entire home/apt,45,2,43,07-12-2021,0.83,1,177,10,
20271395,Luxury loft in Plaka the historic Center of Athens,7239076,Real Athenians. Roland And Ta,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9749,23.73002,Entire home/apt,175,2,84,15-03-2020,1.58,2,355,0,220401
20273069,Spacious room with private veranda,144548123,Anna,,ΠΕΤΡΑΛΩΝΑ,37.97224,23.71298,Private room,25,1,2,20-07-2018,0.04,1,178,0,
20274666,Apartment at Mets-very close to the center,144564075,Dimitra,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96338,23.74079,Entire home/apt,50,2,6,01-08-2021,0.14,1,126,2,189582
20276020,5th floor central Athens flat,19036574,Eva,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98573,23.73836,Entire home/apt,28,2,49,15-10-2021,0.93,1,0,10,109813
20279246,Elegant & relaxing apartment with amazing view!!!,144615755,Melina,,ΕΛΛΗΝΟΡΩΣΩΝ,37.99715,23.77174,Entire home/apt,62,2,6,05-07-2019,0.14,2,325,0,510474
20307919,Boutique loft apartment/metro 2' walk/airport line,30047554,Anna,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99313,23.76077,Entire home/apt,76,4,76,28-11-2021,1.46,1,282,12,360405
20316571,Minimalistic Loft w. huge balcony & Acropolis view,22227167,Alexandros,,ΚΥΨΕΛΗ,37.99979,23.73685,Entire home/apt,60,2,229,22-12-2021,4.36,26,158,70,83464
20319756,'Studio 360' - Rooftop luxury with views,70275856,Juan Carlos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96285,23.72166,Entire home/apt,90,3,89,10-12-2021,1.71,1,192,14,373200
20325613,Cosy Studio with Courtyard,145008573,Maria,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.00536,23.72888,Entire home/apt,24,1,164,07-11-2021,3.09,1,330,21,108966
20335046,A wonderful Acropolis apartment next to the metro,104363322,Sotiris,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96429,23.7257,Entire home/apt,48,2,185,05-12-2021,3.51,4,205,36,1151756
20349888,Peacful paradise,145144616,Niki,,ΓΟΥΔΙ,37.98038,23.75997,Entire home/apt,95,1,0,,,1,88,0,
20356593,"Alke Homme, elegant apartment,Acropolis area,100m2",145137575,Al.Ke,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96676,23.72983,Entire home/apt,80,2,32,27-11-2021,0.62,2,143,15,460126
20361878,Cycle around Athens from a Light-Filled Apartment,60724006,Spiros,,ΠΕΤΡΑΛΩΝΑ,37.97499,23.71166,Entire home/apt,27,1,236,18-12-2021,4.47,1,356,32,1351442
20371803,Acropolis View Studio in Monastiraki,56607959,Vassilis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97957,23.72997,Entire home/apt,200,4,7,25-05-2019,0.15,2,0,0,
20379548,"Acropolis Elegant Apartment, Next to the Metro.",114156592,Bill & John,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9659,23.72728,Entire home/apt,121,1,29,19-09-2021,0.55,32,336,5,70000698401
20379858,Athens Jem near the Archaeological Museum by GHH,47038350,Golden Home Holidays,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.99001,23.73011,Entire home/apt,95,2,25,26-10-2021,0.5,49,236,1,523600
20381002,Cozy with a minimal essence near the center,145341224,Alexandros,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99647,23.7309,Entire home/apt,25,5,14,22-09-2020,0.34,1,0,0,
20381260,Alex's Place in Athens Center!,70979831,Alexandros,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98705,23.74247,Entire home/apt,35,4,15,30-11-2021,0.65,2,225,7,943646
20392308,"Cozy sweet apartment! 
5’ minutes from metro lines",49166505,Debbie,,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,37.99558,23.71892,Entire home/apt,27,4,7,11-09-2019,0.17,1,51,0,1129388080
20398715,Retreat to a Sleek Flat in Central Syntagma,20104194,Upstreet,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97421,23.73165,Entire home/apt,68,1,154,02-12-2021,2.94,74,355,26,1143942
20398893,Renovated Flat with Patio Close to Historic Attractions,20104194,Upstreet,,ΖΑΠΠΕΙΟ,37.96751,23.73136,Entire home/apt,48,1,124,24-08-2020,2.36,74,0,0,1058969
20402207,Hidesign Athens Acropolis Luxury Penthouse,10581143,Pagona,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97498,23.73082,Entire home/apt,243,2,65,20-12-2021,1.7,9,323,32,499244
20406080,Cosy and Spacious 1BD Apartment - Koukaki,20104194,Upstreet,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96473,23.72442,Entire home/apt,52,1,84,21-12-2019,1.61,74,0,0,227972
20413667,Μπαλκόνι στην Ακρόπολη Home,124791366,Ελένη,,ΣΤΑΔΙΟ,37.965,23.73462,Entire home/apt,50,1,8,14-07-2019,0.15,2,0,0,
20417815,Neoclassical house in the centre of Athens,95455424,Steve,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98863,23.73497,Entire home/apt,58,1,84,29-11-2021,1.85,1,319,25,227757
20436115,Enjoy your stay in this cozy & luxurious apartment,141290006,Δημοσθενησ,,ΑΝΩ ΠΑΤΗΣΙΑ,38.01876,23.74117,Entire home/apt,45,7,7,26-08-2021,0.14,1,358,3,141143
20453984,Downtown 30m2 Cozy House,79688066,Dimitris & Dionisis,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98429,23.7339,Entire home/apt,25,1,129,17-12-2021,2.44,3,353,15,479352
20468881,βικης διαμερισμα,141127201,Κωστας,,ΓΟΥΒΑ,37.95927,23.74273,Entire home/apt,100,1,1,21-05-2021,0.14,1,179,1,
20499874,"Athens Perfect Stay (Νο1), 2min walk to Acropolis",146339986,Dimitra,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96598,23.72678,Entire home/apt,36,1,292,19-12-2021,5.53,1,316,47,1126695
20547966,Luxury Gold-Blue Acropolis Apartment near Metro,2089542,Tia & Mike,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96364,23.72181,Entire home/apt,59,1,7,29-09-2020,0.14,54,352,0,164070
20548940,Cute & comfortable studio!,57835860,Erato,,ΚΟΛΩΝΟΣ,37.98881,23.71743,Entire home/apt,20,10,4,16-03-2018,0.09,1,207,0,1345101
20549593,Spacious Apartment in safe area close to Acropolis,2089542,Tia & Mike,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96244,23.7217,Entire home/apt,72,1,1,16-03-2020,0.05,54,337,0,163360
20554986,"Athens Perfect Stay (Νο2), 2min walk to Acropolis",89570268,Eleni,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96722,23.72666,Entire home/apt,42,1,274,19-12-2021,5.19,1,348,29,1126680
20556494,Vibrant Contemporary Apartment Close to Historical Center,136104668,Spyros & Anthi,,ΠΕΤΡΑΛΩΝΑ,37.96776,23.70543,Entire home/apt,46,1,205,15-11-2021,4.14,1,347,27,36776
20568256,Center apartment 100m from the terminal station,146912171,Rea,,ΑΝΩ ΚΥΨΕΛΗ,38.00652,23.7516,Entire home/apt,40,1,59,22-08-2020,1.14,1,113,0,56695
20576553,The White House,89151521,Alkistis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97304,23.73252,Entire home/apt,55,3,6,03-05-2018,0.12,1,301,0,
20584502,Athens Urban Surfer's downtown Syntagma studio,41042574,Konstantinos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97558,23.73161,Entire home/apt,48,1,163,14-11-2021,3.1,11,294,11,323961
20585361,B. A Gift in the Heart of Monastiraki,24336038,Elena,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97796,23.7271,Entire home/apt,57,1,81,10-11-2021,1.61,6,356,14,433668
20603771,Athens Connection Apartments,142862132,Angeliki,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98304,23.73187,Entire home/apt,100,1,2,26-05-2018,0.05,1,180,0,
